added,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,creativity,creativity_rank,creativity_rank_type,draft_rank,position_id,event_points,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,starts,status,club_id,threat,threat_rank,threat_rank_type,total_points,web_name,yellow_cards
2023-07-05T08:58:28.245335Z,5,8,231,100,100,4,223340,352.7,6,5,8,3,6,2.68,6.66,3.98,7.26,Bukayo,3.7,8,4,97.1,4,3,19,true,305.0,13,6,775,"",2023-10-03T22:30:07.474324Z,0,0,0,7.1,0,0,Saka,9,a,1,314.0,13,8,64,Saka,1
2023-07-05T08:58:28.245863Z,1,4,212,100,100,5,462424,46.2,217,58,179,2,7,0.42,0.46,0.04,8.16,William,5.0,8,0,24.6,175,49,20,false,189.8,71,21,900,"",2023-10-09T08:30:07.861646Z,0,0,0,4.4,0,0,Saliba,10,a,1,9.0,335,112,44,Saliba,0
2023-07-05T08:58:28.246386Z,0,0,11,0,0,0,437742,13.9,338,175,252,3,0,0.01,0.07,0.06,1.07,Albert,0.0,2,0,2.9,392,182,21,false,4.2,418,192,130,Hamstring injury - Expected back 25 Nov,2023-09-27T09:00:08.013871Z,0,0,0,1.5,0,0,Sambi Lokonga,2,i,12,11.0,327,169,3,Sambi,0
2023-07-05T08:58:28.246934Z,1,0,24,,,1,209289,17.2,319,167,140,3,6,0.05,0.85,0.80,0.17,Emile,2.3,0,0,9.1,317,143,22,false,33.8,320,140,104,"",,0,0,0,2.2,0,0,Smith Rowe,1,a,1,41.0,197,109,9,Smith Rowe,0
2023-07-05T08:58:28.247442Z,0,0,8,100,25,0,437626,7.2,364,131,641,2,0,0.03,0.03,0.00,1.68,Nuno,0.0,2,0,1.8,414,147,23,false,9.2,393,146,93,"",2023-09-23T22:00:06.903992Z,0,0,0,0.0,0,0,Varela Tavares,1,a,16,2.0,378,135,0,Tavares,2
2023-07-05T08:58:28.247953Z,0,0,0,0,0,0,192895,0.0,564,222,429,2,0,0.00,0.00,0.00,0.00,Kieran,0.0,0,0,0.0,578,222,24,false,0.0,573,223,0,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,0,0,0,0.0,0,0,Tierney,0,u,1,0.0,550,219,0,Tierney,0
2023-07-05T08:58:28.248456Z,0,0,51,100,100,1,223723,14.9,330,115,435,2,7,0.12,0.47,0.35,3.38,Takehiro,3.0,2,1,10.5,304,110,25,false,51.8,280,111,235,"",2023-08-22T00:00:07.272418Z,0,0,0,2.0,1,0,Tomiyasu,1,a,1,40.0,199,48,16,Tomiyasu,0
2023-07-05T08:58:28.248972Z,0,3,79,100,100,1,116216,90.2,119,85,28,3,1,0.78,1.21,0.43,1.91,Leandro,2.7,2,2,25.9,158,83,26,false,99.0,187,72,209,"",2023-10-09T08:30:07.911344Z,0,0,0,3.5,0,0,Trossard,2,a,1,70.0,139,84,21,Trossard,0
2023-07-05T08:58:28.249523Z,0,0,42,,,0,201410,10.8,355,127,642,2,0,0.00,0.00,0.00,6.99,Auston,0.3,12,0,9.3,312,112,27,false,78.2,232,93,285,"",,0,0,0,0.4,0,0,Trusty,3,a,17,4.0,365,127,2,Trusty,1
2023-07-05T08:58:28.250093Z,0,0,176,,,2,224068,0.0,532,59,643,1,2,0.00,0.00,0.00,15.44,Matt,3.0,15,0,20.2,211,15,28,false,202.4,56,13,900,"",,0,0,0,2.7,0,32,Turner,10,a,16,0.0,510,53,27,Turner,1
2023-07-05T08:58:28.250650Z,1,7,221,,,5,198869,159.3,52,11,88,2,6,0.75,1.31,0.56,8.16,Benjamin,5.0,8,1,44.9,62,8,29,true,212.6,47,15,875,"",,0,0,0,5.1,0,0,White,10,a,1,77.0,131,16,51,White,2
2023-07-05T08:58:28.251149Z,0,0,0,0,0,0,84450,0.0,723,312,60,3,0,0.00,0.00,0.00,0.00,Granit,0.0,0,0,0.0,723,312,30,false,0.0,723,312,0,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,0,0,0,0.0,0,0,Xhaka,0,u,1,0.0,723,312,0,Xhaka,0
2023-07-05T08:58:28.251672Z,0,4,153,,,4,206325,130.0,67,15,185,2,8,0.74,1.04,0.30,5.21,Oleksandr,5.0,5,0,26.3,155,37,31,false,86.2,215,85,556,"",,0,0,0,3.7,0,0,Zinchenko,7,a,1,48.0,182,38,33,Zinchenko,1
2023-07-05T08:58:28.252175Z,0,0,0,0,0,0,106468,0.0,695,237,203,2,0,0.00,0.00,0.00,0.00,Alexandre,0.0,0,0,0.0,699,237,32,false,0.0,699,237,0,Hamstring injury - Unknown return date,2023-09-24T22:30:06.810510Z,0,0,0,0.0,0,0,Moreno Lopera,0,i,2,0.0,692,237,0,Alex Moreno,0
2023-07-05T08:58:28.252711Z,1,3,53,,,0,433979,91.1,118,12,465,4,1,0.15,0.69,0.54,14.20,Cameron,1.7,20,1,24.2,177,30,33,false,62.2,261,31,536,"",,0,0,0,2.8,0,0,Archer,6,a,17,89.0,110,33,22,Archer,2
2023-07-05T08:58:28.253212Z,2,3,100,100,100,1,215711,91.4,117,84,106,3,4,1.16,2.70,1.54,6.14,Leon,3.7,5,3,33.7,102,58,34,false,149.4,118,43,268,"",2023-09-28T04:00:07.310756Z,0,0,0,4.1,0,0,Bailey,2,a,2,96.0,103,62,33,Bailey,1
2023-07-05T08:58:28.253731Z,0,0,0,0,0,0,195546,0.0,720,310,68,3,0,0.00,0.00,0.00,0.00,Emiliano,0.0,0,0,0.0,720,310,35,false,0.0,720,310,0,Knee injury - Expected back 10 Feb,2023-08-10T11:00:05.686871Z,0,0,0,0.0,0,0,Buendía Stati,0,i,2,0.0,720,310,0,Buendia,0
2023-07-05T08:58:28.254254Z,1,4,177,,,3,199796,72.9,149,35,406,2,5,1.16,4.28,3.12,13.22,Matty,3.0,12,2,52.6,41,5,36,false,227.0,38,11,875,"",,1,0,0,4.3,0,0,Cash,10,a,2,225.0,29,1,43,Cash,3
2023-07-05T08:58:28.254736Z,0,0,0,,,0,101184,0.0,433,155,618,2,0,0.00,0.00,0.00,0.00,Calum,0.0,0,0,0.0,455,158,37,false,0.0,450,159,0,"",,0,0,0,0.0,0,0,Chambers,0,a,2,0.0,407,143,0,Chambers,0
2023-07-05T08:58:28.255284Z,0,0,7,0,0,0,84583,2.8,384,192,84,3,0,0.02,0.17,0.15,0.68,Philippe,0.0,1,0,1.8,419,194,38,false,4.0,420,193,24,Joined Al-Duhail on loan for the rest of the season,2023-08-20T22:00:05.790965Z,0,0,0,1.0,0,0,Coutinho Correia,0,u,2,12.0,320,164,2,Coutinho,0
2023-07-05T08:58:28.255803Z,0,0,0,0,0,0,221239,0.0,689,83,276,4,0,0.00,0.00,0.00,0.00,Keinan,0.0,0,0,0.0,692,82,39,false,0.0,691,81,0,Transferred to Udinese,2023-09-03T20:12:01.415986Z,0,0,0,0.0,0,0,Davis,0,u,2,0.0,685,82,0,Davis,0
2023-07-05T08:58:28.256339Z,0,0,7,100,100,0,151589,0.1,425,209,239,3,1,0.00,0.00,0.00,0.51,Leander,0.3,0,0,0.7,428,198,40,false,7.4,404,183,3,"",2023-08-10T15:00:04.947940Z,0,0,0,1.0,0,0,Dendoncker,0,a,2,0.0,679,283,3,Dendoncker,0
2023-07-05T08:58:28.256877Z,0,0,43,100,100,0,165659,12.4,347,121,470,2,1,0.02,0.39,0.37,4.02,Diego Carlos,1.0,6,0,11.1,297,107,41,false,53.8,277,110,261,"",2023-09-04T05:00:07.186249Z,0,0,0,1.2,0,0,Santos Silva,3,a,2,45.0,187,40,7,Diego Carlos,0
2023-07-05T08:58:28.257394Z,3,2,165,,,2,101188,291.6,15,3,409,2,2,1.39,1.53,0.14,13.92,Lucas,2.0,14,0,53.4,39,3,42,false,187.8,72,22,890,"",,0,0,0,3.2,0,0,Digne,10,a,2,55.0,168,31,32,Digne,4
2023-07-05T08:58:28.257992Z,1,10,243,,,2,230046,215.3,27,21,91,3,7,1.09,4.28,3.19,13.56,Douglas Luiz,8.0,14,5,66.9,21,17,43,false,321.0,7,4,848,"",,0,0,0,5.6,0,0,Soares de Paulo,10,a,2,133.0,62,36,56,Douglas Luiz,4
2023-07-05T08:58:28.258578Z,0,3,55,75,100,0,476344,14.2,335,45,265,4,0,0.01,0.74,0.73,1.12,Jhon,0.0,0,2,13.7,276,40,44,false,72.6,242,29,68,Toe Injury - 75% chance of playing,2023-10-29T22:00:09.647546Z,0,0,0,2.5,0,0,Durán,0,d,2,55.0,169,39,15,Duran,2
2023-07-05T08:58:28.259147Z,0,0,0,,,0,123354,0.0,469,169,644,2,0,0.00,0.00,0.00,0.00,Kortney,0.0,0,0,0.0,489,172,45,false,0.0,483,172,0,"",,0,0,0,0.0,0,0,Hause,0,a,2,0.0,444,158,0,Hause,0
2023-07-05T08:58:28.259671Z,0,0,0,100,100,0,490094,0.0,591,236,486,3,0,0.00,0.00,0.00,0.00,Tim,0.0,0,0,0.0,603,238,46,false,0.0,598,234,0,"",2023-08-10T15:00:04.998490Z,0,0,0,0.0,0,0,Iroegbunam,0,a,2,0.0,579,232,0,Iroegbunam,0
2023-07-05T08:58:28.260160Z,0,1,127,100,100,3,226944,173.8,46,36,228,3,2,0.46,0.51,0.05,12.87,Boubacar,1.7,13,0,31.6,108,61,47,false,127.6,142,58,844,"",2023-09-30T23:00:07.886006Z,0,0,0,2.0,0,0,Kamara,10,a,2,13.0,312,159,20,Kamara,3
2023-07-05T08:58:28.260680Z,1,2,176,,,2,199798,34.9,248,75,366,2,2,0.24,0.94,0.70,14.37,Ezri,3.3,14,0,30.6,116,26,48,false,184.6,76,24,900,"",,0,0,0,2.9,0,0,Konsa Ngoyo,10,a,2,85.0,119,14,29,Konsa,1
2023-07-05T08:58:28.261179Z,0,3,160,100,100,2,98980,0.0,682,81,176,1,0,0.00,0.00,0.00,13.64,Emiliano,2.0,13,0,20.3,210,14,49,false,202.4,57,14,810,"",2023-08-25T14:00:08.378829Z,1,0,0,2.9,0,25,Martínez Romero,9,a,2,0.0,677,80,26,Martinez,2
2023-07-05T08:58:28.261940Z,2,3,148,,,2,122806,209.1,29,23,111,3,8,1.01,2.58,1.57,12.02,John,4.7,12,2,49.3,50,32,50,false,169.8,95,33,837,"",,0,0,0,3.9,0,0,McGinn,10,a,2,113.0,85,52,39,McGinn,2
2023-07-05T08:58:28.262615Z,0,0,5,0,0,0,149484,13.0,342,119,359,2,0,0.16,0.17,0.01,1.08,Tyrone,0.0,2,0,2.2,407,144,51,false,3.6,421,153,30,Knee injury - Unknown return date,2023-08-12T21:30:06.077936Z,0,0,0,0.0,0,0,Mings,1,i,2,5.0,358,124,0,Mings,0
2023-07-05T08:58:28.263359Z,0,0,114,,,0,184704,99.8,107,77,487,3,2,0.48,0.66,0.18,19.69,Marvelous,1.8,20,0,23.7,180,90,52,false,121.8,156,62,885,"",,0,0,0,1.7,0,0,Nakamba,10,a,12,14.0,305,155,17,Nakamba,3
2023-07-05T08:58:28.264082Z,0,0,12,,,0,111782,0.0,463,32,622,1,0,0.00,0.00,0.00,0.73,Robin,0.0,1,0,1.2,422,26,53,false,12.0,377,26,90,"",,0,0,0,2.0,0,1,Olsen,1,a,2,0.0,438,26,2,Olsen,0
2023-07-05T08:58:28.264738Z,0,0,3,0,0,0,481624,0.3,412,205,488,3,0,0.00,0.00,0.00,0.65,Jaden,0.0,1,0,0.3,436,203,54,false,0.4,439,207,3,Transferred to Hull City,2023-09-02T08:48:12.680336Z,0,0,0,1.0,0,0,Philogene-Bidace,0,u,2,2.0,387,193,1,Philogene,0
2023-07-05T08:58:28.265338Z,0,0,21,0,0,0,232653,1.6,395,195,64,3,0,0.04,0.23,0.19,0.73,Jacob,0.0,0,1,7.4,335,152,55,false,43.8,293,126,48,Foot injury - Unknown return date,2023-10-04T15:30:08.354887Z,0,0,0,3.5,0,0,Ramsey,0,i,2,28.0,238,125,7,J.Ramsey,0
2023-07-05T08:58:28.265925Z,0,0,0,0,0,0,122775,0.0,603,239,475,3,0,0.00,0.00,0.00,0.00,Morgan,0.0,0,0,0.0,610,241,56,false,0.0,606,238,0,Joined OGC Nice on a season-long loan,2023-07-26T11:26:30.137805Z,0,0,0,0.0,0,0,Sanson,0,u,2,0.0,592,236,0,Sanson,0
2023-07-05T08:58:28.266463Z,0,0,0,0,0,0,248164,0.0,493,45,645,1,0,0.00,0.00,0.00,0.00,Viljami,0.0,0,0,0.0,513,61,57,false,0.0,507,61,0,Joined Exeter City on a season-long loan,2023-07-20T08:38:58.947431Z,0,0,0,0.0,0,0,Sinisalo,0,u,2,0.0,469,39,0,Sinisalo,0
2023-07-05T08:58:28.267103Z,1,0,50,,,0,166989,37.6,239,132,77,3,1,0.19,0.27,0.08,4.21,Youri,2.0,4,0,9.0,322,145,58,false,39.2,305,129,160,"",,0,0,0,1.3,0,0,Tielemans,0,a,2,12.0,319,163,13,Tielemans,0
2023-07-05T08:58:28.267852Z,0,0,6,100,100,0,110504,0.0,697,295,259,3,1,0.00,0.00,0.00,0.77,Bertrand,0.3,0,0,0.3,438,204,59,false,3.0,425,195,10,"",2023-09-01T15:29:59.576149Z,0,0,0,1.0,0,0,Traoré,0,a,2,0.0,694,294,2,Bertrand Traoré,0
2023-07-05T08:58:28.268710Z,8,8,246,,,2,178301,220.8,26,2,12,4,2,1.40,6.08,4.68,13.68,Ollie,6.0,14,5,96.2,5,2,60,true,312.2,11,2,860,"",,0,0,0,7.2,0,0,Watkins,10,a,2,429.0,3,2,72,Watkins,0
2023-07-05T08:58:28.269355Z,0,0,0,0,0,0,213345,0.0,703,84,277,4,0,0.00,0.00,0.00,0.00,Wesley,0.0,0,0,0.0,705,83,61,false,0.0,705,83,0,Permanent transfer to Stoke,2023-07-31T07:08:09.572672Z,0,0,0,0.0,0,0,Moraes Ferreira da Silva,0,u,2,0.0,700,83,0,Wesley,0
