week,finished,team_1_id,team_1_points,team_2_id,team_2_points,started
27,false,293899,0,173181,0,false
28,false,274589,0,173108,0,false
28,false,276210,0,247072,0,false
28,false,276578,0,219906,0,false
28,false,293899,0,179251,0,false
28,false,173181,0,178756,0,false
29,false,173108,0,173181,0,false
29,false,178756,0,293899,0,false
29,false,179251,0,276578,0,false
29,false,219906,0,276210,0,false
29,false,247072,0,274589,0,false
30,false,276210,0,173108,0,false
30,false,276578,0,274589,0,false
30,false,293899,0,247072,0,false
30,false,173181,0,219906,0,false
30,false,178756,0,179251,0,false
31,false,173108,0,178756,0,false
31,false,179251,0,173181,0,false
31,false,219906,0,293899,0,false
31,false,247072,0,276578,0,false
31,false,274589,0,276210,0,false
32,false,276578,0,173108,0,false
32,false,293899,0,276210,0,false
32,false,173181,0,274589,0,false
32,false,178756,0,247072,0,false
32,false,179251,0,219906,0,false
33,false,173108,0,179251,0,false
33,false,219906,0,178756,0,false
33,false,247072,0,173181,0,false
33,false,274589,0,293899,0,false
33,false,276210,0,276578,0,false
34,false,293899,0,173108,0,false
34,false,173181,0,276578,0,false
34,false,178756,0,276210,0,false
34,false,179251,0,274589,0,false
34,false,219906,0,247072,0,false
35,false,173108,0,219906,0,false
35,false,247072,0,179251,0,false
35,false,274589,0,178756,0,false
35,false,276210,0,173181,0,false
35,false,276578,0,293899,0,false
36,false,247072,0,173108,0,false
36,false,274589,0,219906,0,false
36,false,276210,0,179251,0,false
36,false,276578,0,178756,0,false
36,false,293899,0,173181,0,false
37,false,274589,0,173108,0,false
37,false,276210,0,247072,0,false
37,false,276578,0,219906,0,false
37,false,293899,0,179251,0,false
37,false,173181,0,178756,0,false
38,false,173108,0,173181,0,false
38,false,178756,0,293899,0,false
38,false,179251,0,276578,0,false
38,false,219906,0,276210,0,false
38,false,247072,0,274589,0,false
